[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,102
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,103
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,104
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,105
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,106
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,107
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,108
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,109
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,110
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,111
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,112
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,113
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,114
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,115
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,116
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,117
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,118
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,119
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,120
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,121
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,122
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,123
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,124
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 56]), ('unroll_kw', True)],direct,None,125
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,126
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,127
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,128
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,129
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,130
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,131
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,132
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,133
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,134
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,135
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,136
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 1]), ('unroll_kw', False)],direct,None,137
