[('tile_ic', [-1, 64]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,146
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,147
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,148
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,149
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,150
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,151
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,152
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,153
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,154
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,155
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,156
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,157
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,158
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,159
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,160
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,161
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,162
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,163
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,164
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,165
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,166
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,167
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,168
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,169
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,170
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,171
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,172
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,173
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,174
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,175
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,176
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,177
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,178
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,179
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,180
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,181
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,182
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,183
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,184
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,185
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,186
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,187
